Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
"3523 6th Avenue, LLC (Joe Cordaro, Randy Reichardt)",Commercial renovation of 3523 6th Avenue (former Euclid Avenue State Bank),Mixed-use,3523 6th Avenue,347170.0,NPV (corrected from cash),534012.0,19.7,"~$534,012 project-generated TIF on a cash basis; $347,170 NPV at 4.5%; 90% years 1-5, 85% years 6-10, 80% years 11-15",1760000.0,tax abatement (Eligible for commercial tax abatement but requesting TIF in lieu); grant (Invest DSM preliminary commitment of grant and loan funds); other (Seeking Federal and State Historic Tax Credits),completed,2022-12-12,30.0,534012.0,1469098.0,1249378.0,161018.0,206 6th Avenue LLC,1106000.0,1990.0,DES MOINES OAK PARK-HIGHLAND PARK UR,,,Oak Park-Highland Park Urban Renewal Area,21-0380,approve development agreement,2021-03-08,approved,6-1,,high,figure_not_in_source;multi_meeting_project,2021-01-25: resolution of intent [21-0106] (approved) | 2021-01-25: resolution of intent [21-0107] (approved) | 2021-03-08: approve development agreement [21-0380] (approved) | 2021-03-08: approve development agreement [21-0381] (approved) | 2021-06-14: amend agreement [21-0877] (approved) | 2021-06-16: amend agreement [43] | 2021-07-19: other [21-1130] (approved),2021-03-08,2021-03-08,https://councildocs.dsm.city/communications/2021/21-119.pdf,1,"$534,012 in project-generated tax increment on a cash basis"
"Tree House Partners, LLC (Tim Rypma, Paul Cownie, Jeremy Cortright)",Historic renovation of three apartment buildings at 2315 Grand Avenue,Residential,2315 Grand Avenue,200000.0,NPV (corrected from cash),2400000.0,1.2,"$2,400,000 TIF ($200,000 annually) on a cash basis; $1,877,015 NPV at 4% discount rate; paid years 1-12",16900000.0,"tax abatement (10-year, 100% residential rehabilitation tax abatement schedule); other (Seeking State and Federal Historic Tax Credits)",completed,2023-04-10,30.0,2400000.0,6327605.0,3842906.0,,,6450000.0,2005.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,19.0,93.0,Ingersoll Grand Commercial Urban Renewal Area,21-0278,approve development agreement,2021-02-22,approved,7-0,,high,multi_meeting_project,2020-12-07: resolution of intent [20-2014] | 2021-01-11: resolution of intent [21-0023] (approved) | 2021-02-22: approve development agreement [21-0278] (approved) | 2021-06-28: other [21-0989] (approved),2021-02-22,2021-02-22,https://councildocs.dsm.city/communications/2021/21-086.pdf,1,"$2,400,000 in tax-increment financing incentives ($200,000 annually)"
"3801 Grand Associates, L.P. (owner) and Newbury Management Company d/b/a Newbury Living (Frank Levy, President)",New 56-unit multi-residential apartment building,Residential,3705-3707 Grand Avenue,3300000.0,NPV (corrected from cash),4700000.0,9.9,Economic development grant paid with building TIF (exclusive of land); 100% of project-generated building TIF years 1-11; ~$4.7M cash ($3.3M NPV at 4.5%),33500000.0,,approved,,30.0,4711834.0,12688678.0,12580571.0,,,17300000.0,2022.0,DES MOINES 38TH AND GRAND UR,3.0,56.0,38th and Grand Urban Renewal Area TIF District No. 2,21-0203,approve development agreement,2021-02-08,approved,7-0,,high,multi_meeting_project,2020-10-19: resolution of intent [20-1663] (approved) | 2021-02-08: approve development agreement [21-0203] (approved),2021-02-08,2021-02-08,https://councildocs.dsm.city/communications/2021/21-059.pdf,1,approximately $4.7 million on a cash basis ($3.3 million on a net present value
"Krause+ (Gerard Haberman, President)",Capital City Reinvestment District / Krause+ Stadium and Western Gateway master planned redevelopment,Residential,"Approx. 60 acres south of Martin Luther King Jr. Parkway east of the Raccoon River; approx. 6 acres in Western Gateway between High St and Grand Ave, 15th-17th Streets",,,,,"Project-generated tax increment on building valuations, exclusive of land, at 90% for 20 years; cap reflecting the financing gap to be set in final agreement",550000000.0,"land conveyance (Sale and/or lease of City-owned parcels (1.27-acre north of Dico site, 1.43-acre Western Gateway, plus adjacent right-of-way) to Krause+)",approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,21-0219,resolution of intent,2021-02-08,approved,7-0,,medium,figure_not_in_source,2021-02-08: resolution of intent [21-0219] (approved),,2021-02-08,https://councildocs.dsm.city/communications/2021/21-062.pdf,1,"tax increment on the building valuations, exclusive of land at 90% for 20 years"
"FW Rehab, LLC (Abbey Gilroy, Executive Director)",Renovation of 3610 6th Avenue into mixed-use residential and commercial (home to Chuck's Restaurant),Mixed-use,3610 6th Avenue,113915.0,NPV (corrected from cash),166720.0,9.2,"Economic development grant from building TIF (exclusive of land); ~$166,720 cash ($113,915 NPV at 4.5%)",1240000.0,tax abatement (Eligible for declining commercial tax abatement),completed,2021-12-20,30.0,166720.0,877459.0,600528.0,4221.0,FW Rehab LLC,1036000.0,1995.0,DES MOINES OAK PARK-HIGHLAND PARK UR,1.0,4.0,Oak Park-Highland Park Urban Renewal Area,21-0109,approve development agreement,2021-01-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2020-11-23: resolution of intent [20-1884] (approved) | 2021-01-25: approve development agreement [21-0109] (approved) | 2025-10-20: amend agreement [25-1411] (approved),2021-01-25,2021-01-25,https://councildocs.dsm.city/communications/2021/21-044.pdf,1,"approximately $166,720 on a cash basis ($113,915 on a net-present-value"
"13th & Mulberry, LLC and 13th and Mulberry Multifamily, LLC (Josh Aberson, Byron Schafersman, Tim Rypma)",Historic renovation of 213 13th Street and new 5-story mixed-use building (two phases),Mixed-use,213 13th Street and adjacent lot northwest of 13th and Mulberry,3600000.0,NPV (confirmed),,15.9,"Economic development grant, 15-yr declining, per phase. Phase 1: 95% yr1-5/85% yr6-10/80% yr11-15, ~$1.1M cash ($703K NPV). Phase 2: 100% yr1-10/75% yr11-15, ~$4.1M cash ($2.7M NPV)",22700000.0,,completed,2022-06-27,30.0,5153359.0,10788726.0,8933928.0,,,3957000.0,1990.0,DES MOINES METRO CENTER MERGED UR,,80.0,Metro Center Urban Renewal Area,20-2118,approve development agreement,2020-12-21,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2020-10-19: resolution of intent [20-1664] (approved) | 2020-12-21: approve development agreement [20-2118] (approved) | 2022-10-24: amend agreement [22-1646] (approved) | 2024-10-21: other [24-1449] (approved),2022-10-24,2022-10-24,https://councildocs.dsm.city/communications/2020/20-564.pdf,1,first phase incentive is approximately $1.1 million on a cash basis
"217 E Second LC (Jake Christensen, Christensen Development)",Renovation of 217 East 2nd Street (Globe Hoist building) for commercial and office uses,Office,217 East 2nd Street,1075000.0,NPV (corrected from cash),1500000.0,12.5,"Project-generated tax increment; 95% yr1-5, 85% yr6-10, 75% yr11-15; ~$1.5M cash (capped at $1,075,000 NPV at 4.5%)",8600000.0,,approved,,30.0,1512186.0,4579666.0,4579666.0,,,3890000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,20-2117,approve development agreement,2020-12-21,approved,7-0,,high,multi_meeting_project,2020-09-14: resolution of intent [20-1455] (approved) | 2020-12-21: approve development agreement [20-2117] (approved) | 2023-05-22: amend agreement [23-0729] (approved),2020-12-21,2020-12-21,https://councildocs.dsm.city/communications/2020/20-563.pdf,1,approximately $1.5 million in project generated tax increment on a cash basis
"Spot 515, LLC (Randy Reichardt, Owner)",Renovation of 515 28th Street commercial building (Iowa Lithographing Company building),Other,515 28th Street,634000.0,NPV (corrected from cash),887000.0,27.6,"Project-generated tax increment; 95% yr1-5, 85% yr6-9, 75% yr10-13; ~$887,000 cash ($634,000 NPV at 4.5%)",2300000.0,,completed,2022-12-12,30.0,887105.0,2511937.0,2246610.0,58997.0,Spot 515 LLC,2410000.0,2010.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll Grand Commercial Urban Renewal Area,20-2116,approve development agreement,2020-12-21,approved,7-0,,high,multi_meeting_project,2020-10-05: resolution of intent [20-1574] (approved) | 2020-12-21: approve development agreement [20-2116] (approved),2020-12-21,2020-12-21,https://councildocs.dsm.city/communications/2020/20-565.pdf,1,"approximately $887,000 in project generated tax increment on a cash basis"
"Electro Management Corp. and Electrical Power Products, Inc. (d/b/a EP2, Britt Baker, CEO)","EP2 60,000 sq-ft warehouse addition to existing production facility",Industrial / warehouse,4240 Army Post Road,1016267.0,NPV (confirmed),,17.2,"Economic development grant; 50% of increment each year until December 2035 (~12.5 yrs); est. value $1,016,267 ($723,113 NPV), 13.6% of project costs. Original agreement: 100% until $1.6M rebated then 50%, 17-yr term",5900000.0,"grant $244,467 (IEDA State of Iowa Business Financial Assistance (state, not city): $135,978 sales/use tax refund + $108,669 state investment tax credits; 2 new HQJ jobs)",approved,,20.0,1016267.0,2655755.0,1149471.0,2442605.0,Electro Management,29139890.0,2017.0,DES MOINES SW 42ND & ARMY POST UR,,,SW 42nd and Army Post Urban Renewal Area,20-1882,amend agreement,2020-11-23,approved,7-0,,high,multi_meeting_project,2016-08-08: other [16-1359] (approved) | 2020-11-23: amend agreement [20-1882] (approved),2020-11-23,2020-11-23,https://councildocs.dsm.city/communications/2020/20-506.pdf,1,"Estimated value is $1,016,267; net present value (NPV) = $723,113"
"Percy's Landing Senior, LP (J.B. Conlin, Conlin Properties)",Percy's Landing - 21-unit senior housing (former Percy Hoak Elementary School),Residential,1801 McKinley Avenue,402802.0,NPV (corrected from cash),518278.0,9.0,"Non-project-generated ED grant ~$30,000/yr for 6 yrs ($180,000) from Fleur Drive Commercial TIF District, plus overlapping 10-yr 100% project-generated ED grant ~$338,728; cumulative $518,278 cash ($402,802 NPV at 4.5%), 11.6% of costs",4500000.0,grant (Seeking IFA competitive 9% Housing Tax Credits (state)),approved,,30.0,518278.0,1215999.0,554125.0,,,532100.0,1960.0,DES MOINES FLEUR DRIVE COMMERCIAL UR,,21.0,Fleur Drive Commercial Urban Renewal Area,20-1885,resolution of intent,2020-11-23,approved,7-0,,high,,2020-11-23: resolution of intent [20-1885] (approved),2020-11-23,2020-11-23,https://councildocs.dsm.city/communications/2020/20-507.pdf,1,"estimated cumulative value of the assistance is $518,278 on a cash value basis"
"JR Partners, LLC (Tim Rypma, Jeremy Cortright, Paul Cownie)",Historic renovation of 401 East Court Avenue (former A&P Super Market),Commercial (MAA / abatement),401 East Court Avenue,439000.0,NPV (confirmed),,14.6,"Declining schedule of project-generated tax increment (exclusive of land), years 1-15: 90% yr1-5, 85% yr6-9, 80% yr10-12, 75% yr13-15; ~$439,000 NPV at 4.5%; 14.8% of project costs",3000000.0,,approved,,30.0,645161.0,2236540.0,1597889.0,6835.0,JR Partners LLC,,,,,,Metro Center Urban Renewal Area,20-1780,approve development agreement,2020-11-09,approved,7-0,,high,multi_meeting_project,2020-11-09: approve development agreement [20-1780] (approved) | 2026-02-09: amend agreement [26-0183] (approved),2020-11-09,2020-11-09,https://councildocs.dsm.city/communications/2020/20-487.pdf,1,"total incentive is estimated at $439,000 (net present value"
"Swaps Cash, LLC (Lincoln and Lisa McIlravy, Members)","Element Hotel by Marriott (6-story, 112-room)",Hotel,304 East Walnut Street,2000000.0,NPV (confirmed),,8.8,80% of tax increment generated by total project in years 1-10; TIF economic development grant capped at $2M on NPV basis,22700000.0,,approved,,30.0,2000000.0,14346173.0,13154633.0,,,987100.0,,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,20-1453,amend agreement,2020-09-14,approved,7-0,,high,multi_meeting_project,2018-12-17: resolution of intent [18-2090] | 2019-04-08: resolution of intent [19-0557] (approved) | 2020-09-14: amend agreement [20-1453] (approved),2019-04-08,2019-04-08,https://councildocs.dsm.city/communications/2020/20-409.pdf,1,"amend the dates to commence construction ... to July 31, 2021"
"Aust Real Estate, LLC (Matt and Mindy Aust, Owners)",Ferrington Place Building historic renovation (mixed-use),Mixed-use,1201 Keosauqua Way,521159.0,NPV (corrected from cash),990119.0,8.5,"90% of project-generated tax increment from taxable building valuation increase (exclusive of land), years 1-20; est. $990,119 cash / $521,159 NPV at 4.5%; ~16.2% of total project costs",6100000.0,,completed,2023-04-24,30.0,990119.0,2213565.0,1977561.0,,,2350000.0,2000.0,DES MOINES METRO CENTER MERGED UR,,1.0,Metro Center,20-1454,approve development agreement,2020-09-14,approved,7-0,,high,multi_meeting_project,2019-12-16: resolution of intent [19-2021] (approved) | 2020-09-14: approve development agreement [20-1454] (approved),2020-09-14,2020-09-14,https://councildocs.dsm.city/communications/2020/20-388.pdf,1,"90% of the project-generated tax increment ... estimated at $990,119"
"611 Fifth Avenue, LLC",,Other,,,,,,,,,approved,,,,,,161018.0,206 6th Avenue LLC,,,,,,,20-1333,other,2020-08-17,approved,7-0,,low,,2020-08-17: other [20-1333] (approved),,,https://councildocs.dsm.city/minutes/as20200817.pdf,7,"Collateral Assignment of Urban Renewal Development Agreement with 611 Fifth Avenue, LLC"
"Reagan Partners, LLC (Tim Rypma, Paul Cownie and Jeremy Cortright)",historic renovation of three multi-family apartment buildings,Residential,2801 Grand Avenue,994627.0,NPV (corrected from cash),1395000.0,12.0,"$1,395,000 TIF cash ($994,627 NPV at 4%), paid yrs1-13 after completion",8300000.0,,completed,2021-12-06,30.0,1395000.0,3284465.0,1482071.0,50000.0,Reagan Partners,3590000.0,1990.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll Grand Commercial Urban Renewal Area,20-1248,approve development agreement,2020-08-05,approved,6-0,Mayor Cownie abstains from voting based on an appearance of a conflict of interest,medium,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2020-03-23: resolution of intent [20-0532] (approved) | 2020-08-03: approve development agreement [20-1248] | 2020-08-05: approve development agreement [20-1248] (approved),2020-08-03,2020-08-03,https://councildocs.dsm.city/minutes/as20200805.pdf,9,"Urban Renewal Development Agreement with Reagan Partners, LLC"
"Lawmark, LP",Financial Center hotel conversion,Hotel,207 7th Street,7500000.0,NPV (confirmed),,12.6,"declining project TIF (building only): 90% yrs1-5, 85% yrs6-10, 75% yrs11-15; capped $7.5M NPV at 4.5%",59300000.0,,approved,,30.0,10576567.0,45903910.0,24628632.0,,,,,,,,Metro Center Urban Renewal Area,20-0915,approve development agreement,2020-06-08,approved,7-0,,high,multi_meeting_project,2020-03-23: resolution of intent [20-0554] (approved) | 2020-06-08: approve development agreement [20-0915] (approved),2020-06-08,2020-06-08,https://councildocs.dsm.city/communications/2020/20-245.pdf,1,capped at a maximum of $7.5M
Nelson Development,26th & University mixed-use building,Mixed-use,SE corner of 26th Street and University Avenue,3389419.0,NPV (as extracted; CC NPV differs),,16.1,commercial 100% TIF 15 yrs +70% yrs16-17; LMI multifamily TIF after abatement; capped $3.4M; NPV $1.96M at 4.5%,21000000.0,"tax abatement (10-year declining tax abatement for multi-family area (100% yrs1-8, 60% yr9, 40% yr10))",completed,2021-08-09,30.0,4422313.0,12988785.0,12880053.0,223091.0,Nelson Development,,,,14.0,135.0,Drake Urban Renewal Plan/TIF District,20-0757,approve development agreement,2020-05-04,approved,7-0,,high,multi_meeting_project,2018-11-19: resolution of intent [18-1938] (approved) | 2019-01-28: approve development agreement [19-0132] (approved) | 2020-02-24: resolution of intent [20-0345] (approved) | 2020-05-04: approve development agreement [20-0757] (approved),2020-05-04,2020-05-04,https://councildocs.dsm.city/communications/2020/20-199.pdf,1,"projected TIF assistance is $3,389,419, which would be capped at $3.4 million"
"Bridge District Level, LLC",Level Apartments (Bridge District),Residential,300 block of Maple Street,4800634.0,NPV (as extracted; CC NPV differs),,17.8,"$1.5M non-project Metro Center TIF yrs1-6 + $3.3M project-generated TIF yrs7-15; total $4,800,634 cash, $3,273,895 NPV at 4.5%",26900000.0,tax abatement (10-yr declining abatement for apartments; 6-yr declining abatement for rowhomes),completed,2023-08-07,30.0,5335217.0,23531325.0,22811571.0,,,,,,,139.0,Metro Center TIF,20-0533,approve development agreement,2020-03-23,approved,7-0,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2019-12-16: resolution of intent [19-2018] (approved) | 2020-03-09: approve development agreement [20-0430] | 2020-03-23: approve development agreement [20-0533] (approved) | 2020-12-07: amend agreement [20-2015] (approved) | 2022-03-21: amend agreement [22-0425] (approved) | 2023-07-17: amend agreement [23-1011] (approved),2020-03-23,2020-03-23,https://councildocs.dsm.city/communications/2020/20-143.pdf,1,projected total amount of TIF assistance is estimated at $4.8 million
"Des Moines Cold Storage Co., Inc. and Crossroads Cold Storage, LLC",Des Moines Cold Storage warehouse addition,Industrial / warehouse,SE 43rd and Vandalia Road (3805 Vandalia Road),1687470.0,NPV (confirmed),,14.1,"75% project-generated TIF until May 1, 2034; estimated $1,687,470, NPV $1,272,331 (10.6% of cost)",12000000.0,,approved,,,,,,,,,,,,,Southeast Ag Urban Renewal Area,20-0530,amend agreement,2020-03-23,approved,7-0,,high,multi_meeting_project,2020-03-23: amend agreement [20-0530] (approved) | 2021-06-28: amend agreement [21-0985] (approved),2020-03-23,2020-03-23,https://councildocs.dsm.city/communications/2020/20-139.pdf,1,"Estimated value is $1,687,470; NPV = $1,272,331"
"111 Jefferson Ave, LLC",111 Jefferson Avenue warehouse (Commonwealth Electric),Industrial / warehouse,"111 Jefferson Avenue, Central Place Industrial Park",,,,,forgivable loan equal to land cost funded by Central Place TIF,880000.0,"forgivable loan $43,500 (forgivable loan equal to land cost ($43,500), payable upon certificate of completion; funded by Central Place TIF)",completed,2022-06-27,,,,,,,,,,,,Central Place Industrial Park Urban Renewal,20-0534,approve development agreement,2020-03-23,approved,7-0,,high,,2020-03-23: approve development agreement [20-0534] (approved),,2020-03-23,https://councildocs.dsm.city/communications/2020/20-140.pdf,1,a forgivable loan equal to the cost of the land
Street Collective f/k/a Des Moines Bicycle Collective,B-Cycle Program,Other,,,,,,,,"economic development grant $45,000 (up to $45,000 over 3 years; $12,000/yr plus optional $3,000/yr for 4+ additional stations)",approved,,,,,,,,,,,,,,20-0432,amend agreement,2020-03-09,approved,6-0,Council Member Voss abstains based on a conflict of interest,high,,2020-03-09: amend agreement [20-0432] (approved),,,https://councildocs.dsm.city/communications/2020/20-124.pdf,1,"financial assistance in the amount of up to $45,000"
"3750 Grand, LLC",3750 Grand condominiums,Residential,3750 Grand Avenue,4800000.0,NPV (confirmed),,12.8,"economic development grant of 100% project-generated TIF (building only), 10-yr term; capped $4.8M NPV at 4.5%",37400000.0,,completed,2022-12-12,30.0,6544088.0,25868159.0,25868159.0,707243.0,505 E GRAND LLC,45700.0,,,,38.0,38th and Grand Urban Renewal Area - TIF District #1,20-0346,approve development agreement,2020-02-24,approved,7-0,,high,multi_meeting_project,2019-09-23: resolution of intent [19-1502] (approved) | 2020-02-24: approve development agreement [20-0346] (approved) | 2020-07-13: amend agreement [20-1117] (approved) | 2022-05-23: amend agreement [22-0786] (approved),2020-02-24,2020-02-24,https://councildocs.dsm.city/communications/2020/20-099.pdf,1,"capped at a maximum of $4,800,000"
"611 Fifth Avenue, LLC",611 Fifth Avenue office building renovation,Office,611 5th Avenue,3800000.0,NPV (as extracted; CC NPV differs),,16.3,"90% project TIF yrs1-5, 85% yrs6-10, 75% yrs11-15; capped at $3.8M NPV at 4.5%; total assistance $4,085,346 NPV",23300000.0,,completed,2019-11-18,30.0,5598819.0,9971801.0,9067925.0,161018.0,206 6th Avenue LLC,8820000.0,1990.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal,20-0344,approve development agreement,2020-02-24,approved,7-0,,high,multi_meeting_project,2019-11-18: resolution of intent [19-1841] (approved) | 2020-02-24: approve development agreement [20-0344] (approved),2020-02-24,2020-02-24,https://councildocs.dsm.city/communications/2020/20-073.pdf,1,capped at a maximum of $3.8 million dollars
"Blank Park Zoo Foundation, Inc.",ZooPlex Multipurpose Event Center,Other,,,,,,,,"economic development grant $50,000 (Grant for furniture and equipment for ZooPlex Event Center; General Fund)",approved,,,,,,,,,,,,,,20-0343,other,2020-02-24,approved,7-0,,high,,2020-02-24: other [20-0343] (approved),,,https://councildocs.dsm.city/communications/2020/20-070.pdf,1,"Amount: $50,000 grant to the Blank Park Zoo"
Gray's Landing Office LLC,Gray's Landing Office,Office,Gray's Landing (3.75-acre parcel),984430.0,unverified (no NPV stated in source),,6.6,"parcel grant $984,430 (of $2.8M master allocation); each semi-annual installment equal to one-half of 45% of project incremental tax revenue, until paid in full or FY2035/36",15000000.0,,approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,20-0145,amend agreement,2020-01-27,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2019-12-16: amend agreement [19-2015] (approved) | 2020-01-27: amend agreement [20-0145] (approved),2019-12-16,2019-12-16,https://councildocs.dsm.city/agendas/ag20200127.pdf,5,Corrective Second Amended and Restated Parcel Development Agreement with Gray's Landing Office LLC
"Jarcor, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,20-0071,amend agreement,2020-01-13,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2020-01-13: amend agreement [20-0071] (approved) | 2020-03-09: other [20-0431] (approved),,,https://councildocs.dsm.city/agendas/ag20200113.pdf,8,"Corrected First Amendment to Urban Renewal Development Agreement with Jarcor, LLC"
"Krause Group, LTD. f/k/a Krause Holdings, Inc. and Linden Street Investments, LLC (Kyle Krause)",Krause Group / Kum & Go corporate headquarters,Office,1459 Grand Avenue,,,,,,,,completed,2018-10-22,,,,,8866285.0,Kum & Go,81900000.0,2017.0,DES MOINES METRO CENTER MERGED UR,,,,19-2019,amend agreement,2019-12-16,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2017-08-14: amend agreement [17-1376] (approved) | 2019-12-16: amend agreement [19-2019] (approved),,,https://councildocs.dsm.city/communications/2019/19-534.pdf,1,from $100 per square foot to $300 per square foot
Des Moines Area Metropolitan Planning Organization (MPO),Des Moines Transloading facility,Industrial / warehouse,200 Southeast 15th Street,,,,,,,,completed,2025-12-22,,,,,,,,,,,,,19-2068,approve development agreement,2019-12-16,approved,6-0,Mayor Cownie abstains from voting based on an appearance of a conflict of interest (both A and B),low,figure_not_in_source;multi_meeting_project,2018-06-11: set public hearing [18-0988] (hearing set) | 2019-12-16: approve development agreement [19-2068] (approved),,,https://councildocs.dsm.city/agendas/ag20191216.pdf,12,development agreement with Des Moines Area Metropolitan Planning Organization (MPO) for the Des Moines Transloading facility
"Terrace Hill I, LLC (Jake Christensen)",Terrace Hill - 87-room hotel redevelopment,Hotel,2525 Grand Avenue and 2515 Grand Avenue,2500000.0,NPV (as extracted; CC NPV differs),,13.7,"declining schedule of project-generated TIF (building valuations exclusive of land), years 1-14: 100% yrs 1-4, 80% yrs 5-8, 75% yrs 9-14; capped $2.5M NPV at 4.5%",18200000.0,,approved,,30.0,3412850.0,11589482.0,8233046.0,,,2850000.0,1966.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll Grand Commercial Urban Renewal Area,19-2016,approve development agreement,2019-12-16,approved,7-0,,high,multi_meeting_project,2019-09-23: resolution of intent [19-1503] (approved) | 2019-12-16: approve development agreement [19-2016] (approved) | 2022-03-07: amend agreement [22-0336] (approved) | 2023-03-06: amend agreement [23-0306] (approved),2019-12-16,2019-12-16,https://councildocs.dsm.city/communications/2019/19-546.pdf,1,capped at a maximum of $2.5 million (net present value
"Blackacre Development, LLC (subsidiary of Krause Group Real Estate) and River Point West, LLC",Gray's Landing,Mixed-use,"SW 14th Street, south of Martin Luther King Jr. Parkway",,,,,"PILOT backstops Section 108 HUD loan ($8.5M); PDA PILOT schedule totals $2,252,400",95000000.0,,approved,,,,,,,,,,,,,,19-2062,approve development agreement,2019-12-16,approved,7-0,,medium,multi_meeting_project,2019-12-16: approve development agreement [19-2062] (approved) | 2023-02-06: amend agreement [23-0166] (continued) | 2023-02-20: amend agreement [23-0230] (approved),,2019-12-16,https://councildocs.dsm.city/communications/2019/19-547.pdf,2,"$95 million Blackacre Development project, of which at least $35 million will be taxable"
"Connolly Lofts Associates, L.P. (Frank Levy, Managing Member)",Connolly Lofts,Residential,401 SE 6th Street and 400 SE 7th Street,432161.0,NPV (corrected from cash),724859.0,3.7,"declining percentage of project-generated TIF years 9-14; estimated total $724,859 cash / $432,161 NPV",11800000.0,"forgivable loan $350,000 (economic development forgivable loan paid upon closing of land sale); forgivable loan $444,366 (economic development forgivable loan including value of excess ROW vacated and conveyed); tax abatement (10-year declining tax abatement); other $200,000 (closing credit up to $200,000 for environmental remediation costs)",completed,2021-07-19,30.0,1125952.0,3068523.0,3068523.0,1984051.0,Market One LLC,9000000.0,2020.0,DES MOINES METRO CENTER MERGED UR,4.0,57.0,Metro Center Urban Renewal Area,19-1878,approve development agreement,2019-11-18,approved,7-0,,medium,counterparty_changed_across_actions;multi_meeting_project,"2017-01-09: approve development agreement [17-0067] (approved) | 2017-04-03: amend agreement [17-0588] (approved) | 2017-09-25: other [17-1657] (approved) | 2019-01-14: approve development agreement [19-0074] (approved) | 2019-02-11: amend agreement [19-0211] (approved) | 2019-10-14: set public hearing [19-1642, 19-1643] (hearing set) | 2019-11-18: approve development agreement [19-1878] (approved)",2019-11-18,2019-11-18,https://councildocs.dsm.city/communications/2019/19-496.pdf,2,"economic development forgivable loan in the amount of $350,000"
"7&Grand Ramp Developer, LLC",7th & Grand parking ramp,Other,"block bounded by Grand Avenue, High Street, 7th and 8th Streets",,,,,"underlying economic development grant payable in six semi-annual installments equal to applicable percentage of project TIF, starting Dec 1, 2019",,"economic development grant $350,000 (advance of funds not to exceed $350,000 to pay Dec 1, 2019 and May 1, 2020 installments of the TIF-based economic development grant to 7&Grand Ramp Developer, LLC; reimbursed with TIF, net $0)",approved,,,,,,428947.0,7 & Grand Ramp Developer LLC,,,,,,Metro Center Urban Renewal Area,19-1836,other,2019-11-18,approved,7-0,,medium,,2019-11-18: other [19-1836] (approved),,,https://councildocs.dsm.city/communications/2019/19-504.pdf,1,"Not to exceed, $350,000"
"River Point West LLC (George Sherman, President)",Gray's Landing,Hotel,"Gray's Landing Development, south of Martin Luther King Jr. Parkway and west of SW 9th Street",2800000.0,NPV (as extracted; CC NPV differs),,1.3,"not to exceed $2.8M via 50% of project-generated TIF from second hotel, Gray's Landing office building, both senior apartment phases, and 36% of TIF from all other projects, FY2022-FY2036 for project development costs; NPV 5.5%",215050000.0,"other $5,430,980 (TIF-funded repayment to River Point West for Section 108 loan advances, $5,430,980 NPV 5.5%, through FY2040)",approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,"19-1408, 19-1409",amend agreement,2019-09-09,approved,7-0,,medium,disposition_ambiguous_withdrawn;multi_meeting_project,"2018-11-05: resolution of intent [18-1858] (approved) | 2019-01-14: amend agreement [19-0073] (approved) | 2019-09-09: amend agreement [19-1408, 19-1409] (approved)",2019-09-09,2019-09-09,https://councildocs.dsm.city/communications/2019/19-388.pdf,1,granted an amount not to exceed $2.8 million through 50%
Greater Des Moines Partnership,downtown year-around farmers market,Other,,,,,,,,economic development grant (economic development grant to Greater Des Moines Partnership to assist location/development of a downtown year-around farmers market; amount not stated),approved,,,,,,,,,,,,,,19-1411,other,2019-09-09,approved,7-0,,low,figure_not_in_source,2019-09-09: other [19-1411] (approved),,,https://councildocs.dsm.city/agendas/ag20190909.pdf,7,Economic development grant to the Greater Des Moines Partnership
